date,open,high,low,close,volume
2019-08-01,60.309201594900664,60.809201594900664,59.809201594900664,60.309201594900664,1732
2019-08-02,59.74095351753416,60.24095351753416,59.24095351753416,59.74095351753416,4641
2019-08-05,59.24234239825876,59.74234239825876,58.74234239825876,59.24234239825876,3815
2019-08-06,60.238479802401976,60.738479802401976,59.738479802401976,60.238479802401976,1177
2019-08-07,59.56713363265984,60.06713363265984,59.06713363265984,59.56713363265984,3134
2019-08-08,60.09646807847053,60.59646807847053,59.59646807847053,60.09646807847053,2329
2019-08-09,59.49884633090594,59.99884633090594,58.99884633090594,59.49884633090594,3796
2019-08-12,58.590806455218306,59.090806455218306,58.090806455218306,58.590806455218306,1769
2019-08-13,59.300583987688256,59.800583987688256,58.800583987688256,59.300583987688256,2968
2019-08-14,59.34658344063222,59.84658344063222,58.84658344063222,59.34658344063222,2878
2019-08-15,59.99456959090419,60.49456959090419,59.49456959090419,59.99456959090419,2993
2019-08-16,58.42556394471101,58.92556394471101,57.92556394471101,58.42556394471101,4686
2019-08-19,59.04189519074523,59.54189519074523,58.54189519074523,59.04189519074523,4769
2019-08-20,57.61863601195496,58.11863601195496,57.11863601195496,57.61863601195496,1280
2019-08-21,59.440113367193575,59.940113367193575,58.940113367193575,59.440113367193575,4146
2019-08-22,57.976512461986324,58.476512461986324,57.476512461986324,57.976512461986324,1685
2019-08-23,57.31939114761188,57.81939114761188,56.81939114761188,57.31939114761188,1627
2019-08-26,58.6398852198389,59.1398852198389,58.1398852198389,58.6398852198389,2948
2019-08-27,59.494586576968885,59.994586576968885,58.994586576968885,59.494586576968885,4902
2019-08-28,57.31326097424903,57.81326097424903,56.81326097424903,57.31326097424903,3096
2019-08-29,57.58516998728771,58.08516998728771,57.08516998728771,57.58516998728771,3344
2019-08-30,57.783758465535755,58.283758465535755,57.283758465535755,57.783758465535755,3982
2019-09-02,57.3975609840847,57.8975609840847,56.8975609840847,57.3975609840847,2909
2019-09-03,58.52748053460589,59.02748053460589,58.02748053460589,58.52748053460589,2750
2019-09-04,57.50082419068256,58.00082419068256,57.00082419068256,57.50082419068256,3785
2019-09-05,57.49228628032991,57.99228628032991,56.99228628032991,57.49228628032991,1564
2019-09-06,58.45892231122384,58.95892231122384,57.95892231122384,58.45892231122384,4520
2019-09-09,57.31064621028297,57.81064621028297,56.81064621028297,57.31064621028297,2414
2019-09-10,58.18406191606242,58.68406191606242,57.68406191606242,58.18406191606242,3354
2019-09-11,56.98350962311213,57.48350962311213,56.48350962311213,56.98350962311213,4928
2019-09-12,56.713686872025455,57.213686872025455,56.213686872025455,56.713686872025455,4049
2019-09-13,56.137818174824865,56.637818174824865,55.637818174824865,56.137818174824865,4002
2019-09-16,59.01791975848691,59.51791975848691,58.51791975848691,59.01791975848691,4262
2019-09-17,57.19553022603265,57.69553022603265,56.69553022603265,57.19553022603265,1465
2019-09-18,57.569664068876115,58.069664068876115,57.069664068876115,57.569664068876115,2761
2019-09-19,57.27245769011266,57.77245769011266,56.77245769011266,57.27245769011266,4232
2019-09-20,57.34804662568303,57.84804662568303,56.84804662568303,57.34804662568303,2045
2019-09-23,57.18260632635664,57.68260632635664,56.68260632635664,57.18260632635664,2243
2019-09-24,58.592210696999224,59.092210696999224,58.092210696999224,58.592210696999224,4510
2019-09-25,56.15727571565127,56.65727571565127,55.65727571565127,56.15727571565127,4125
2019-09-26,55.66522722631837,56.16522722631837,55.16522722631837,55.66522722631837,2001
2019-09-27,56.02440909918935,56.52440909918935,55.52440909918935,56.02440909918935,1050
2019-09-30,55.68898954894992,56.18898954894992,55.18898954894992,55.68898954894992,2931
2019-10-01,57.27710632152223,57.77710632152223,56.77710632152223,57.27710632152223,4485
2019-10-02,57.25861916994681,57.75861916994681,56.75861916994681,57.25861916994681,3187
2019-10-03,55.75604408897626,56.25604408897626,55.25604408897626,55.75604408897626,1649
2019-10-04,55.335527826706056,55.835527826706056,54.835527826706056,55.335527826706056,2929
2019-10-07,56.0868190481435,56.5868190481435,55.5868190481435,56.0868190481435,2823
2019-10-08,57.40633539573741,57.90633539573741,56.90633539573741,57.40633539573741,3416
2019-10-09,53.96056068197756,54.46056068197756,53.46056068197756,53.96056068197756,3647
2019-10-10,56.560297554208844,57.060297554208844,56.060297554208844,56.560297554208844,1977
2019-10-11,55.20117187981719,55.70117187981719,54.70117187981719,55.20117187981719,3031
2019-10-14,56.816849701789,57.316849701789,56.316849701789,56.816849701789,2961
2019-10-15,55.044996754634504,55.544996754634504,54.544996754634504,55.044996754634504,1661
2019-10-16,55.601783168343154,56.101783168343154,55.101783168343154,55.601783168343154,2995
2019-10-17,54.5478724723841,55.0478724723841,54.0478724723841,54.5478724723841,1556
2019-10-18,54.8938693952772,55.3938693952772,54.3938693952772,54.8938693952772,1782
2019-10-21,56.70712692889249,57.20712692889249,56.20712692889249,56.70712692889249,2138
2019-10-22,56.17769846994757,56.67769846994757,55.67769846994757,56.17769846994757,4884
2019-10-23,55.122680922294904,55.622680922294904,54.622680922294904,55.122680922294904,1209
2019-10-24,54.67065747063196,55.17065747063196,54.17065747063196,54.67065747063196,4430
2019-10-25,53.77452958036584,54.27452958036584,53.27452958036584,53.77452958036584,1866
2019-10-28,54.89742984283443,55.39742984283443,54.39742984283443,54.89742984283443,4791
2019-10-29,55.110412533066096,55.610412533066096,54.610412533066096,55.110412533066096,1520
2019-10-30,54.990671571647475,55.490671571647475,54.490671571647475,54.990671571647475,3440
2019-10-31,54.90566143831404,55.40566143831404,54.40566143831404,54.90566143831404,2859
2019-11-01,54.006027201693364,54.506027201693364,53.506027201693364,54.006027201693364,1904
2019-11-04,54.77323571796233,55.27323571796233,54.27323571796233,54.77323571796233,2426
2019-11-05,54.71809604540666,55.21809604540666,54.21809604540666,54.71809604540666,2626
2019-11-06,55.70426430205721,56.20426430205721,55.20426430205721,55.70426430205721,3347
2019-11-07,56.08798135807648,56.58798135807648,55.58798135807648,56.08798135807648,3934
2019-11-08,54.40778329584029,54.90778329584029,53.90778329584029,54.40778329584029,2123
2019-11-11,53.827109679213734,54.327109679213734,53.327109679213734,53.827109679213734,2526
2019-11-12,54.31094865912479,54.81094865912479,53.81094865912479,54.31094865912479,1135
2019-11-13,53.79961726551073,54.29961726551073,53.29961726551073,53.79961726551073,2036
2019-11-14,53.614547155897206,54.114547155897206,53.114547155897206,53.614547155897206,2324
2019-11-15,54.084354009736415,54.584354009736415,53.584354009736415,54.084354009736415,4228
2019-11-18,53.2194105091322,53.7194105091322,52.7194105091322,53.2194105091322,4020
2019-11-19,54.461719377757994,54.961719377757994,53.961719377757994,54.461719377757994,4088
